LED #,Sticker,Notes
0,6,
1,35,
2,34,
3,33,
4,33,
5,16,on edge
6,16,
7,-1,
8,24,
9,25,
10,-1,on edge
11,26,
12,-1,on intersection
13,-1,under strip
14,-1,under strip
15,32,
16,31,on edge
17,31,
18,30,
19,12,
20,13,"faint, on edge"
21,-1,on intersection
22,17,on edge
23,-1,on intersection
24,-1,on edge
25,23,
26,5,
27,5,on edge
28,4,
29,3,
30,32,
31,32,on edge
32,31,
33,30,
34,-1,under strip
35,-1,under strip
36,13,on edge
37,14,
38,21,
39,21,
40,23,
41,-1,under
42,-1,on edge
43,4,under
44,3,on edge
45,29,
46,-1,on intersection
47,28,
48,27,
49,-1,under
50,-1,under
51,13,
52,14,
53,21,
54,22,
55,23,on edge
56,-1,on edge
57,-1,on intersection
58,1,
59,0,
60,-1,on corner
61,29,
62,28,
63,27,
64,9,
65,-1,under
66,10,on edge
67,11,
68,18,
69,19,
70,-1,on edge
71,20,
72,-1,under
73,-1,under
74,-1,under
75,-1,on edge
76,44,on edge
77,41,
78,38,
79,38,on edge
80,9,
81,12,
82,15,
83,51,
84,-1,on edge
85,52,
86,53,
87,6,
88,-1,on intersection
89,3,on edge
90,-1,on edge
91,43,
92,-1,on intersection
93,40,
94,37,on edge
95,10,
96,13,on edge
97,13,
98,16,
99,48,
100,49,
101,50,on edge
102,50,on edge
103,7,
104,4,
105,1,
106,43,
107,43,on edge
108,-1,on edge
109,36,on edge
110,36,on edge
111,11,
112,14,
113,17,
114,-1,on edge
115,45,
116,46,
117,47,
118,8,
119,-1,on edge
120,5,
121,2,
122,42,
123,-1,
124,39,on edge
125,-1,
126,11,on corner
127,-1,
128,37,
129,41,on corner
130,-1,inside
131,-1,inside
132,-1,inside
133,-1,inside
134,-1,inside
135,-1,inside
136,-1,inside
137,-1,inside
138,-1,inside
139,-1,inside
140,-1,inside
141,-1,inside
142,-1,inside
143,-1,inside
144,-1,inside
145,-1,inside
146,-1,inside
147,-1,inside
148,-1,inside
149,-1,inside
150,-1,inside
151,-1,inside
152,-1,inside
153,-1,inside
154,-1,inside
155,-1,inside
156,-1,inside
157,-1,inside
158,-1,inside
159,-1,inside